QUERY_ID,START_TIME,END_TIME,USER_NAME,ROLE_NAME,WAREHOUSE_NAME,WAREHOUSE_SIZE,QUERY_TYPE,DATABASE_NAME,SCHEMA_NAME,EXECUTION_STATUS,BYTES_SCANNED,ROWS_PRODUCED,TOTAL_ELAPSED_TIME,EXECUTION_TIME
Q00000029,2026-02-06 11:46:54,2026-02-06 11:48:21,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,55941341406,17037,87000,84507
Q00000030,2026-02-06 11:52:13,2026-02-06 11:55:58,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,36782007619,4389,225000,224693
Q00000031,2026-02-06 12:02:13,2026-02-06 12:08:42,airflow,ELT_ROLE,COMPUTE_WH,LARGE,COPY,ANALYTICS_DB,TRANSFORM,SUCCESS,10213154901,6207,389000,388237
Q00000032,2026-02-06 12:07:43,2026-02-06 12:09:22,airflow,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,9146405588,9050,99000,98093
Q00000033,2026-02-06 13:01:11,2026-02-06 13:06:14,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,25673127462,6794,303000,301903
Q00000034,2026-02-06 14:15:05,2026-02-06 14:17:47,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,19332306410,2351,162000,158291
Q00000035,2026-02-06 14:44:24,2026-02-06 14:46:02,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,12346801083,6266,98000,93810
Q00000036,2026-02-06 15:23:44,2026-02-06 15:30:20,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,42208433074,8394,396000,393406
Q00000037,2026-02-06 15:29:06,2026-02-06 15:33:34,airflow,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,25656872579,11997,268000,265552
Q00000038,2026-02-06 15:10:08,2026-02-06 15:14:44,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,6413304330,12267,276000,271995
Q00000039,2026-02-06 16:25:26,2026-02-06 16:30:31,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,16003043382,1924,305000,300820
Q00000040,2026-02-06 16:42:25,2026-02-06 16:45:03,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,28113622226,3040,158000,155239
Q00000041,2026-02-06 17:34:23,2026-02-06 17:35:49,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,12479188846,8623,86000,81197
Q00000042,2026-02-06 19:37:36,2026-02-06 19:39:03,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,45476363149,3185,87000,85629
Q00000043,2026-02-06 20:04:32,2026-02-06 20:09:44,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,24520054004,18715,312000,311279
Q00000044,2026-02-06 20:25:42,2026-02-06 20:30:17,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,COPY,ANALYTICS_DB,TRANSFORM,SUCCESS,55712410922,18544,275000,273383
Q00000045,2026-02-06 21:35:16,2026-02-06 21:37:35,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,59623225255,18524,139000,138338
Q00000046,2026-02-06 21:14:40,2026-02-06 21:16:47,airflow,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,96749191572,15561,127000,124267
Q00000047,2026-02-06 21:24:51,2026-02-06 21:25:51,airflow,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,66990506724,18489,60000,58754
Q00000048,2026-02-06 22:34:11,2026-02-06 22:36:57,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,81267090568,3093,166000,161747
Q00000049,2026-02-06 22:52:48,2026-02-06 22:54:06,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,38114641320,16176,78000,77122
Q00000050,2026-02-06 22:21:32,2026-02-06 22:26:32,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,60200007398,12452,300000,297919
Q00000051,2026-02-07 01:32:48,2026-02-07 01:37:51,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,13693603803,15172,303000,298057
Q00000052,2026-02-07 01:23:18,2026-02-07 01:24:34,airflow,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,44218556159,12039,76000,75220
Q00000053,2026-02-07 01:09:22,2026-02-07 01:10:28,airflow,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,53390428114,12814,66000,61215
Q00000054,2026-02-07 03:43:54,2026-02-07 03:48:22,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,39084790812,3541,268000,263256
Q00000055,2026-02-07 05:52:46,2026-02-07 05:55:24,airflow,ELT_ROLE,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,29738384418,8780,158000,154982
Q00000056,2026-02-07 06:02:13,2026-02-07 06:04:07,airflow,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,42698410594,14228,114000,110912
Q00000057,2026-02-07 06:37:38,2026-02-07 06:42:45,airflow,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,37903726032,6192,307000,303972
Q00000058,2026-02-07 07:55:47,2026-02-07 07:59:59,airflow,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,20631330018,7147,252000,251117
Q00000059,2026-02-07 08:27:40,2026-02-07 08:30:56,airflow,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,4380356747,9941,196000,191069
Q00000060,2026-02-07 08:01:09,2026-02-07 08:05:46,airflow,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,21734664311,6897,277000,275524
Q00000061,2026-02-07 09:19:42,2026-02-07 09:24:14,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,13634050337,3969,272000,267527
Q00000062,2026-02-07 09:47:09,2026-02-07 09:52:58,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,42356007179,2462,349000,345901
Q00000063,2026-02-07 10:31:24,2026-02-07 10:35:36,airflow,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,34659677455,10629,252000,249027
Q00000064,2026-02-07 11:46:16,2026-02-07 11:52:20,airflow,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,12229122030,2381,364000,360012
Q00000065,2026-02-07 11:14:12,2026-02-07 11:19:37,airflow,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,16183975093,7172,325000,324095
Q00000066,2026-02-07 13:47:52,2026-02-07 13:55:12,airflow,TRANSFORMER,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,31123603590,9067,440000,436621
Q00000067,2026-02-07 13:38:16,2026-02-07 13:43:54,airflow,TRANSFORMER,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,16520089731,7237,338000,334890
Q00000068,2026-02-07 13:16:24,2026-02-07 13:21:05,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,35123820306,2505,281000,278768
Q00000069,2026-02-07 16:11:12,2026-02-07 16:15:46,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,25615895469,6623,274000,269961
Q00000070,2026-02-07 17:36:29,2026-02-07 17:36:51,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,15070238842,8737,22000,18392
Q00000071,2026-02-07 18:22:25,2026-02-07 18:27:22,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,24274581954,13010,297000,295613
Q00000072,2026-02-07 18:42:17,2026-02-07 18:48:54,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,21710633377,4380,397000,394062
Q00000073,2026-02-07 18:13:21,2026-02-07 18:16:12,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,14097331348,4789,171000,166254
Q00000074,2026-02-07 19:02:47,2026-02-07 19:09:19,airflow,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,7027400568,12793,392000,388058
Q00000075,2026-02-07 19:53:42,2026-02-07 19:57:41,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,6430723583,3753,239000,236473
Q00000076,2026-02-07 19:09:01,2026-02-07 19:15:05,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,35077445719,10285,364000,363010
Q00000077,2026-02-07 21:34:00,2026-02-07 21:39:08,airflow,ELT_ROLE,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,56199641678,6301,308000,305485
Q00000078,2026-02-07 21:34:47,2026-02-07 21:37:44,airflow,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,30171035586,2206,177000,174173
Q00000079,2026-02-07 21:25:06,2026-02-07 21:28:01,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,38299586217,3949,175000,174649
Q00000080,2026-02-07 23:55:37,2026-02-07 23:59:59,airflow,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,31342982667,6873,262000,261702
Q00000081,2026-02-07 23:27:32,2026-02-07 23:34:10,airflow,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,7631288229,1238,398000,393935
Q00000082,2026-02-08 01:26:03,2026-02-08 01:32:58,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,COPY,ANALYTICS_DB,TRANSFORM,SUCCESS,19513735082,4249,415000,413527
Q00000083,2026-02-08 01:06:50,2026-02-08 01:13:36,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,51214029758,1753,406000,405131
Q00000084,2026-02-08 02:17:48,2026-02-08 02:21:57,airflow,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,20233270616,14162,249000,245608
Q00000085,2026-02-08 02:54:52,2026-02-08 02:59:59,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,17726355241,9265,307000,304279
Q00000086,2026-02-08 02:46:08,2026-02-08 02:51:36,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,11009882961,7410,328000,327083
Q00000087,2026-02-08 03:42:30,2026-02-08 03:49:36,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,40530739076,13254,426000,425120
Q00000088,2026-02-08 03:48:35,2026-02-08 03:50:16,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,20376121458,13339,101000,98995
Q00000089,2026-02-08 04:49:47,2026-02-08 04:51:17,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,33109268037,11895,90000,87801
Q00000090,2026-02-08 04:40:49,2026-02-08 04:44:49,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,COPY,ANALYTICS_DB,TRANSFORM,SUCCESS,10082005948,4882,240000,237098
Q00000091,2026-02-08 05:24:25,2026-02-08 05:30:45,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,21553114800,9643,380000,378885
Q00000092,2026-02-08 06:46:23,2026-02-08 06:49:27,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,14495221866,1796,184000,181633
Q00000093,2026-02-08 07:00:33,2026-02-08 07:01:05,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,18698202903,4116,32000,27734
Q00000094,2026-02-08 08:26:40,2026-02-08 08:27:37,airflow,TRANSFORMER,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,11737606722,1528,57000,54887
Q00000095,2026-02-08 09:15:33,2026-02-08 09:22:52,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,18932755076,9860,439000,434827
Q00000096,2026-02-08 10:47:43,2026-02-08 10:52:02,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,23285069903,6872,259000,256743
Q00000097,2026-02-08 10:06:08,2026-02-08 10:10:01,airflow,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,17478381076,4556,233000,229311
Q00000098,2026-02-08 10:17:49,2026-02-08 10:21:24,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,30329238666,2709,215000,210706
Q00000099,2026-02-08 11:27:27,2026-02-08 11:33:33,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,23398266186,2064,366000,363798
Q00000100,2026-02-08 11:22:09,2026-02-08 11:25:20,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,30766041351,856,191000,186444
Q00000101,2026-02-08 13:21:16,2026-02-08 13:28:24,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,COPY,ANALYTICS_DB,TRANSFORM,SUCCESS,15348061638,4357,428000,425880
Q00000102,2026-02-08 13:23:41,2026-02-08 13:28:36,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,6435863637,6350,295000,291739
Q00000103,2026-02-08 14:55:21,2026-02-08 14:56:05,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,9886044085,6956,44000,41045
Q00000104,2026-02-08 16:22:00,2026-02-08 16:29:09,airflow,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,29998293437,8343,429000,428701
Q00000105,2026-02-08 16:05:35,2026-02-08 16:06:34,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,10344907446,9870,59000,57350
Q00000106,2026-02-08 16:49:53,2026-02-08 16:51:35,airflow,TRANSFORMER,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,9261321636,12704,102000,98202
Q00000107,2026-02-08 17:23:16,2026-02-08 17:25:05,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,23882280986,5632,109000,106460
Q00000108,2026-02-08 19:09:01,2026-02-08 19:10:48,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,13890441199,1466,107000,105256
Q00000109,2026-02-08 19:34:01,2026-02-08 19:35:48,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,15282390426,9400,107000,104478
Q00000110,2026-02-08 20:18:26,2026-02-08 20:20:13,airflow,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,40009099606,2947,107000,102533
Q00000111,2026-02-08 20:29:55,2026-02-08 20:35:57,airflow,TRANSFORMER,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,11811498136,9150,362000,358404
Q00000112,2026-02-08 20:21:20,2026-02-08 20:22:23,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,15605406903,7767,63000,61066
Q00000113,2026-02-09 01:14:55,2026-02-09 01:21:17,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,72795280514,7057,382000,381015
Q00000114,2026-02-09 01:33:52,2026-02-09 01:40:46,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,62761588912,11963,414000,412788
Q00000115,2026-02-09 01:17:09,2026-02-09 01:22:53,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,36554993968,20215,344000,340097
Q00000116,2026-02-09 03:21:50,2026-02-09 03:26:27,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,77589643044,22913,277000,275735
Q00000117,2026-02-09 03:50:23,2026-02-09 03:52:47,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,86036905678,26995,144000,139342
Q00000118,2026-02-09 04:54:11,2026-02-09 04:57:18,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,11631676448,25433,187000,184142
Q00000119,2026-02-09 04:05:00,2026-02-09 04:12:29,airflow,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,32789344286,23438,449000,446841
Q00000120,2026-02-09 05:25:41,2026-02-09 05:27:58,airflow,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,18564547503,20418,137000,135884
Q00000121,2026-02-09 05:33:16,2026-02-09 05:40:59,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,11056114036,19168,463000,459385
Q00000122,2026-02-09 05:04:24,2026-02-09 05:08:52,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,69584359217,13014,268000,266644
Q00000123,2026-02-09 06:37:42,2026-02-09 06:43:16,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,19162390863,4394,334000,330210
Q00000124,2026-02-09 06:02:16,2026-02-09 06:04:42,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,37137960434,6527,146000,143481
Q00000125,2026-02-09 08:40:26,2026-02-09 08:41:03,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,21728751844,7266,37000,32523
Q00000126,2026-02-09 09:35:39,2026-02-09 09:38:12,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,43216074629,7587,153000,149382
Q00000127,2026-02-09 09:35:26,2026-02-09 09:36:40,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,43607012512,7475,74000,73517
Q00000128,2026-02-09 12:36:20,2026-02-09 12:42:28,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,15990697461,9858,368000,366052
Q00000129,2026-02-09 13:43:37,2026-02-09 13:45:03,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,14901352233,3274,86000,83819
Q00000130,2026-02-09 13:14:27,2026-02-09 13:19:02,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,6834174573,8783,275000,271585
Q00000131,2026-02-09 14:08:28,2026-02-09 14:13:38,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,6996347449,18141,310000,309392
Q00000132,2026-02-09 14:08:09,2026-02-09 14:12:25,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,24728715511,4384,256000,253935
Q00000133,2026-02-09 14:28:20,2026-02-09 14:31:45,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,36963967429,2640,205000,200221
Q00000134,2026-02-09 15:32:32,2026-02-09 15:38:16,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,34913280212,7407,344000,342575
